latitude,longitude
40.72493793,-73.99961148
40.72461164,-74.00046789
40.72574677,-73.99962184
40.72493709,-74.00010811
40.72448259,-74.00147711
40.72512087,-74.001599
40.7251662,-74.00024363
40.72464374,-73.99899252
40.72477694,-74.00131408
40.72477444,-74.00233706
40.72482357,-74.00177355
40.72453907,-73.99953838
40.72505489,-73.99999632
40.72521001,-74.0002109
40.72475357,-74.00031241
40.72480442,-73.99919548
40.72467141,-74.00117606
40.72500404,-73.99862313
40.72534391,-73.99886457
40.72459908,-74.00059083
40.72532887,-73.99998256
40.7242578,-74.00096713
40.72498421,-73.99966556
40.72507348,-74.00096175
40.7243622,-73.99975837
40.72513536,-74.00134243
40.7250189,-74.0010422
40.72503059,-73.99983779
40.72553206,-74.00058986
40.7247513,-73.9998738
40.72498744,-74.00057765
40.72434966,-73.99998265
40.7250751,-73.99986562
40.725211,-74.00146113
40.72424141,-74.00108738
40.72541399,-73.99968548
40.72586306,-73.99888116
40.72435118,-74.00181677
40.72490987,-74.00280855
40.7250589,-73.99989801
40.7249116,-73.99973103
40.72522597,-74.0021577
40.72497626,-73.99899684
40.72447234,-73.99856532
40.72586484,-73.99995189
40.72559251,-74.0009876
40.72508411,-73.99879999
40.72503319,-74.00148769
40.72497841,-73.9997167
40.72448441,-74.0007342
40.72486069,-74.00274603
40.7244422,-73.99834047
40.72438802,-73.99892652
40.72427173,-73.99821243
40.72554365,-74.00025388
40.72523651,-73.99960309
40.72534971,-74.00003856
40.72511221,-74.00215248
40.72510875,-73.99988424
40.72521029,-73.99902554
40.72520116,-73.99821504
40.72471215,-73.99939515
40.72531883,-73.99885124
40.72523161,-73.99898588
40.72498034,-74.000722
40.72517443,-74.00154394
40.72468639,-74.0026806
40.72539418,-73.99751592
40.72507921,-74.0004102
40.72507548,-74.00005303
40.72546025,-74.00164968
40.72518456,-73.9986081
40.72572061,-74.00108739
40.72488515,-73.99963318
40.72507685,-74.00199051
40.72557253,-73.99955528
40.724902,-73.99960534
40.72567157,-74.00135874
40.72555905,-73.99960779
40.7247291,-73.99834251
40.72505278,-73.99981719
40.72497474,-74.00053867
40.72500278,-73.99937723
40.7246274,-73.99939053
40.72503644,-74.00020586
40.72510195,-74.00144509
40.7254035,-73.99949656
40.72587646,-73.99950912
40.72515593,-73.99968154
40.72545135,-73.99906785
40.72537724,-73.99926261
40.72541019,-73.99925944
40.72506762,-73.99722749
40.72458372,-74.00250019
40.72510777,-74.00026305
40.72499163,-73.99745638
40.72509426,-73.9996756
40.72507492,-73.99879225
40.72448336,-73.99971399
40.72502692,-73.99972819
